City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
79,Severo-Kurilsk,RU,50.6789,156.125,31.86,88,29,5.91,scattered clouds,4/20/2022 18:42
80,Lapeer,US,43.0514,-83.3188,51.94,34,0,8.05,clear sky,4/20/2022 18:42
81,Macau,MO,22.2006,113.5461,71.4,83,20,3.44,few clouds,4/20/2022 18:42
82,Brae,GB,60.3964,-1.353,46.49,81,100,10.4,overcast clouds,4/20/2022 18:41
83,Esperance,AU,-33.8667,121.9,55.24,77,89,8.16,overcast clouds,4/20/2022 18:42
84,Vaini,TO,-21.2,-175.2,73.56,100,100,3.44,overcast clouds,4/20/2022 18:42
85,Jamestown,US,42.097,-79.2353,49.51,43,0,9.22,clear sky,4/20/2022 18:42
86,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,20,11.5,few clouds,4/20/2022 18:42
87,Khorixas,NA,-20.3667,14.9667,77.09,24,42,8.61,scattered clouds,4/20/2022 18:42
88,Lasa,IT,46.6166,10.7002,50.88,94,66,1.68,broken clouds,4/20/2022 18:42
89,Lompoc,US,34.6391,-120.4579,71.69,65,0,14,clear sky,4/20/2022 18:40
90,Cape Town,ZA,-33.9258,18.4232,69.12,62,0,4.61,clear sky,4/20/2022 18:41
91,Qaqortoq,GL,60.7167,-46.0333,32.59,55,57,4.88,broken clouds,4/20/2022 18:42
92,Port Alfred,ZA,-33.5906,26.891,70.95,79,8,12.64,clear sky,4/20/2022 18:42
93,Klin,RU,56.3333,36.7333,46.56,70,83,13.49,broken clouds,4/20/2022 18:42
94,Saint-Pierre,RE,-21.3393,55.4781,77.29,83,0,4.61,clear sky,4/20/2022 18:42
95,Gamba,GA,-2.65,10,76.82,92,100,4.5,light rain,4/20/2022 18:42
96,Morondava,MG,-20.2833,44.2833,81.01,79,6,9.01,clear sky,4/20/2022 18:42
97,Atuona,PF,-9.8,-139.0333,79.36,70,68,20.2,broken clouds,4/20/2022 18:42
98,Bara,NG,10.3744,10.7288,92.28,24,100,2.75,overcast clouds,4/20/2022 18:42
99,Colac,AU,-38.3333,143.5833,51.84,92,30,3.24,scattered clouds,4/20/2022 18:42
100,Paamiut,GL,61.994,-49.6678,25.74,53,100,6.17,overcast clouds,4/20/2022 18:42
101,Qena,EG,26.1615,32.7183,74.17,19,0,12.19,clear sky,4/20/2022 18:42
102,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,88.36,49,36,4.81,scattered clouds,4/20/2022 18:42
103,Te Anau,NZ,-45.4167,167.7167,59.4,95,98,2.68,overcast clouds,4/20/2022 18:42
104,Thompson,CA,55.7435,-97.8558,32.16,51,75,6.91,broken clouds,4/20/2022 18:40
105,Fairbanks,US,64.8378,-147.7164,40.48,43,20,1.99,few clouds,4/20/2022 18:40
106,San Quintin,MX,30.4833,-115.95,66.18,63,0,22.97,clear sky,4/20/2022 18:42
107,Kenitra,MA,34.261,-6.5802,61.56,59,5,13.6,clear sky,4/20/2022 18:42
108,Vila Velha,BR,-20.3297,-40.2925,82.35,73,20,14.97,few clouds,4/20/2022 18:38
109,Constitucion,CL,-35.3333,-72.4167,60.71,57,10,14.99,clear sky,4/20/2022 18:42
110,Haines Junction,CA,60.7522,-137.5108,28.35,50,100,1.14,overcast clouds,4/20/2022 18:42
111,Mehkar,IN,20.1508,76.569,91.89,19,27,14.2,scattered clouds,4/20/2022 18:42
112,Mar Del Plata,AR,-38.0023,-57.5575,64.42,94,40,8.05,mist,4/20/2022 18:40
113,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.36,75,100,9.22,overcast clouds,4/20/2022 18:43
114,Vardo,NO,70.3705,31.1107,37.38,93,0,8.05,clear sky,4/20/2022 18:40
115,Deogarh,IN,21.5333,84.7333,77.54,83,6,4.59,clear sky,4/20/2022 18:43
116,Tatarsk,RU,55.219,75.9828,41.65,73,94,5.23,overcast clouds,4/20/2022 18:43
117,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,61,85,1.23,overcast clouds,4/20/2022 18:43
118,Brawley,US,32.9787,-115.5303,82.02,22,0,9.22,clear sky,4/20/2022 18:43
119,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,85,75,4.61,mist,4/20/2022 18:43
